Last,First,Filename,Day,Type,Convention,Source,URL
Romney,Ann,rnc.romneyann.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/ann-romney-rnc-speech-transcript-text-video-080346
Christie,Chris,rnc.christie.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/chris-christie-rnc-speech-transcript-text-video-080347
Santorum,Rick,rnc.santorum.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/rick-santorum-rnc-speech-transcript-text-video-080348
Davis,Arthur,rnc.davis.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/artur-davis-rnc-speech-transcript-080375
Haley,Nikki,rnc.haley.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/nikki-haley-rnc-speech-transcript-080376
Fischer,Deb,rnc.fischer.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/deb-fischer-rnc-speech-transcript-080381
Sandoval,Brian,rnc.sandoval.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/brian-sandoval-rnc-speech-transcript-080383
Ayotte,Kelly,rnc.ayotte.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/kelly-ayotte-rnc-speech-transcript-080380
Boener,John,rnc.boener.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/john-boehner-rnc-speech-transcript-080377
McDonnell,Bob,rnc.mcdonnell.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/bob-mcdonnell-rnc-speech-transcript-080379
MCcConnell,Mitch,rnc.mcconnell.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/mitch-mcconnell-rnc-speech-transcript-080397
Paul,Rand,rnc.paul.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/mitch-mcconnell-rnc-speech-transcript-080398
McCain,John,rnc.mccain.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/john-mccain-rnc-speech-transcript-080399
Pawlenty,Tim,rnc.pawlenty.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/tim-pawlenty-rnc-speech-transcript-080413
Portman,Rob,rnc.portman.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/rob-portman-rnc-speech-transcript-video-080415
Huckabee,Mike,rnc.huckabee.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/mike-huckabee-rnc-speech-transcript-080411
Martinez,Susana,rnc.martinez.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/susana-martinez-rnc-speech-text-080421
Rice,Condoleeza,rnc.rice.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/condoleezza-rice-rnc-speech-transcript-080402
Ryan,Paul,rnc.ryan.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/paul-ryans-rnc-speech-080423
Bush,Jeb,rnc.bushjeb.txt,29-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/jeb-bush-rnc-speech-080486
Love,Mia,rnc.love.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/mia-love-rnc-speech-transcript-080490
Gingrich,Newt,rnc.gingrich.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/newt-and-callista-gingrich-rnc-speech-transcript-text-video-080492
White,Bob,rnc.whitebob.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/bob-whites-rnc-speech-080488
Olymbians,Gold,rnc.olympians.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/olympians-rnc-speech-transcript-080497
Rubia,Marco,rnc.rubio.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/marco-rubios-rnc-speech-080493
Eastwood,Chris,rnc.eastwood.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/clint-eastwood-rnc-speech-transcript-080505
Romney,Mitt,rnc.romney.txt,30-Aug,Speech,RNC,Politico,https://www.politico.com/story/2012/08/mitt-romney-rnc-speech-transcript-080504
Walker,Scott,rnc.walker.txt,28-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-scott-walker-governor-of-wisconsin-167776785.html
Thune,John,rnc.thune.txt,29-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-the-hon-john-thune-us-senator-south-dakota-167926355.html
Mack,Connie,rnc.makc.txt,30-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-the-hon-connie-mack-us-representative-florida-14th-district-168071946.html
Romney,Criag,rnc.romneycraig.txt,30-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-craig-romney-168073796.html
Healey,Kerry,rnc.healey.txt,30-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-the-hon-kerry-healey-former-lieutenant-governor-of-massachusetts-168080516.html
Edmonds,Jame,rnc.edmonds.txt,30-Aug,Speech,RNC,Cision,https://www.prnewswire.com/news-releases/remarks-as-prepared-for-delivery-by-the-hon-jane-edmonds-former-secretary-massachusetts-department-of-workforce-development-168082106.html
