Last,First,Filename,Day,Type,Convention,Source,URL
Israel,Steve,dnc.israel.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-steve-israel-chair-of-the-democratic-congressional-campaign-committee-member-of-the-us-house-of-representatives-new-york-168712026.html
Westly,Steve,dnc.westly.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-steve-westly-former-state-controller-and-chief-financial-officer-of-california-168712006.html
Pierluisi,Redro,dnc.pierluisi.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-pedro-r-pierluisi-chair-of-national-community-mobilization-for-the-democratic-congressional-campaign-committee-non-voting-member-of-the-us-168712046.html
Murray,Patty,dnc.murray.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-patty-murray-chair-of-the-democratic-senatorial-campaign-committee-member-of-the-us-senate-washington-168711996.html
Green,Al,dnc.green.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-al-green-member-of-the-us-house-of-representatives-texas-168712096.html
Steyer,Tom,dnc.steyer.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-tom-steyer-co-founder-of-advanced-energy-economy-168711846.html
Clinton,Bill,dnc.clintonbill.txt,Wednesday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-president-bill-clinton-42nd-president-of-the-united-states-168714256.html
Nutter,Michael,dnc.nutter.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-michael-nutter-168866256.html
Lewis,John,dnc.lewis.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-john-lewis-member-of-the-us-house-of-representatives-georgia-168866266.html
Becerra,Xavier,dnc.bacerra.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-xavier-becerra-democratic-caucus-vice-chair-and-member-of-the-us-house-of-representatives-california-168866276.html
Jones,Kenyetta,dnc.kenyetta.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-kenyetta-jones-168866386.html
Berman,Carol,dnc.berman.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-carol-berman-168866296.html
Dalton,Walter,dnc.dalton.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-walter-dalton-lieutenant-governor-of-north-carolina-168866376.html
Clyburn,James,dnc.clyburn.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-james-clyburn-member-of-the-us-house-of-representatives-south-carolina-168866466.html
Wahls,Zach,"dnc.wahls,txt",Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-zach-wahls-168866336.html
Butterfield,CK,dnc.butterfield.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-gk-butterfield-member-of-the-us-house-of-representatives-north-carolina-168866406.html
Biden,Beau,dnc.bidenbeau.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-beau-biden-attorney-general-of-delaware-and-son-of-vice-president-joe-biden-168866286.html
Price,David,dnc.price.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-david-price-member-of-us-house-of-representatives-north-carolina-168866496.html
Hagan,Kay,dnc.hagan.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-kay-hagan-united-states-senator-north-carolina-168866556.html
Watt,Mel,dnc.watt.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-mel-watt-member-of-the-us-house-of-representatives-north-carolina-168866126.html
Edwards,Donna,dnc.edwards.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-donna-edwards-member-of-the-us-house-of-representatives-maryland-168866446.html
Crow,Jason,dnc.crow.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-jason-crow-captain-us-army-ret-168866116.html
Frank,Barney,dnc.frank.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-barney-frank-member-of-the-us-house-of-representatives-massachusetts-168866416.html
Gantt,Harvey,dnc.gantt.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-harvey-gantt-former-mayor-of-charlotte-north-carolina-168866486.html
Villaraigosa,Antonio,dnc.villaraigosa.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-antonio-r-villaraigosa-chair-of-the-2012-democratic-national-convention-committee-mayor-of-los-angeles-california-168866426.html
Johanson,Scarlett,dnc.dohanson.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-scarlett-johansson-168866246.html
Granholm,Jennifer,dnc.granhold.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-jennifer-granholm-former-governor-of-michigan-168866476.html
Salinas,Alejandra,dnc.salinas.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-alejandra-salinas-168866516.html
Natham,John,dnc.natham.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-admiral-john-b-nathman-united-states-navy-retired-168866526.html
Kerry,John,dnc.kerry.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-john-kerry-member-of-the-us-senate-massachusetts-168866396.html
Flores,Angie,dnc.flores.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-angie-flores-168866546.html
Crist,Charlie,dnc.crist.txt,Thursday,Speech,DNC,Cision,https://www.prnewswire.com/news-releases/2012-democratic-national-convention-remarks-as-prepared-for-delivery-by-the-honorable-charlie-crist-168866506.html
